"","Eli_repA_tech1.sorted.bam","Eli_repB_tech1.2.sorted.bam","Eli_repC_tech1.sorted.bam","Elizabeth_repA_tech1.sorted.bam","Elizabeth_repB_tech1.2.sorted.bam","Elizabeth_repC_tech1.sorted.bam","Eric_repA_tech1.sorted.bam","Eric_repB_tech1.2.sorted.bam","Eric_repC_tech1.sorted.bam","Ethan_repA_tech1.sorted.bam","Ethan_repB_tech1.2.sorted.bam","Ethan_repC_tech1.sorted.bam"
"NM_001098477",1632,1403,2580,1546,1819,638,1812,1005,586,2280,1965,1473
"NM_001098484",7,7,29,3,10,0,4,3,1,14,36,8
"NM_001098486",2,0,6,0,0,0,0,0,0,0,1,0
"NM_001098498",1,0,2,0,0,0,0,0,0,0,0,0
"NM_001098500",299,147,741,197,89,51,177,34,59,224,58,137
"NM_001098503",194,141,206,188,179,57,98,26,31,214,123,151
"NM_001098504",12613,10914,23833,10783,10815,4047,12465,6561,5432,14383,9490,9599
"NM_001098512",1,2,8,3,4,0,0,3,1,4,0,2
"NM_001098514",0,0,0,0,0,0,1,0,2,1,0,2
"NM_001098515",1,0,0,0,0,0,1,2,0,0,0,0
"NM_001098523",25,26,105,29,30,8,36,31,11,29,34,31
"NM_001098524",307,318,443,321,602,133,211,280,75,251,376,365
"NM_001098526",19,37,43,10,30,7,6,21,13,33,40,20
"NM_001098527",0,0,8,0,0,0,0,0,0,0,0,0
"NM_001098529",1,1,0,4,0,0,0,0,0,1,0,1
"NM_001098531",2,31,49,20,19,5,19,18,16,15,25,20
"NM_001098612",157,131,248,70,58,26,73,22,14,190,117,95
"NM_001098614",756,558,2601,978,781,173,1306,579,623,957,765,1032
"NM_001098621",114,125,281,93,112,42,96,82,60,136,101,126
"NM_001098626",4,17,27,4,11,3,7,6,4,13,9,4
"NM_001098633",133,135,239,137,139,80,100,100,61,178,117,137
"NM_001098638",1390,972,2175,1343,1232,412,1556,742,627,1460,979,960
"NM_001098668",0,1,0,0,0,0,0,0,0,1,0,0
"NM_001098672",0,1,2,0,1,0,0,0,0,4,0,0
"NM_001098721",4,0,13,5,1,3,13,0,1,3,4,3
"NM_001098783",352,325,705,291,347,138,294,221,143,497,357,299
"NM_001098794",324,249,582,233,269,114,312,176,115,368,239,273
"NM_001098797",210,133,493,281,160,191,277,63,211,280,89,459
"NM_001098801",800,545,1545,801,558,159,1178,513,397,1034,672,744
"NM_001098805",4,2,15,11,7,15,17,7,8,2,13,13
"NM_001098808",19,80,153,19,36,16,31,24,7,69,23,28
"NM_001098811",459,676,1100,375,749,224,391,405,221,609,513,432
"NM_001098813",900,958,1717,659,983,351,558,453,318,919,753,646
"NM_001098816",0,3,1,2,0,1,1,0,0,1,2,0
"NM_001098831",51,19,84,24,16,24,53,7,23,49,41,79
"NM_001098833",776,1501,1706,512,1618,287,534,811,361,986,1320,669
